date,fips,county,hospital_pk,total_adult_inpatient_sum,total_adult_used_inpatient_sum,total_adult_confirmed_and_suspected_covid_sum,total_adult_confirmed_covid_sum,total_icu_sum,used_icu_sum,total_staffed_adult_icu_sum,used_staffed_adult_icu_sum,staffed_icu_adult_confirmed_and_suspected_covid_sum,staffed_icu_adult_confirmed_covid_sum,total_adult_inpatient_avg,total_adult_used_inpatient_avg,total_adult_confirmed_and_suspected_covid_avg,total_adult_confirmed_covid_avg,total_icu_avg,used_icu_avg,total_staffed_adult_icu_avg,used_staffed_adult_icu_avg,staffed_icu_adult_confirmed_and_suspected_covid_avg,staffed_icu_adult_confirmed_covid_avg
2020-04-10,36055,Monroe,330285,,,,,1687.0,,,,,,,,,,241.0,,,,,
2020-04-10,36057,Montgomery,330047,,,,,56.0,,,,,,,,,,8.0,,,,,
2020-04-10,36059,Nassau,330106,,,,,1797.0,,,,,,,,,,256.7,,,,,
2020-04-10,36059,Nassau,330181,,,,,126.0,,,,,,,,,,18.0,,,,,
2020-04-10,36059,Nassau,330198,,,,,578.0,,,,,,,,,,82.6,,,,,
2020-04-10,36059,Nassau,330259,,,,,294.0,,,,,,,,,,42.0,,,,,
2020-04-10,36061,New York,330024,,,,,1932.0,,,,,,,,,,276.0,,,,,
2020-04-10,36061,New York,330101,,,,,5254.0,,,,,,,,,,750.6,,,,,
2020-04-10,36061,New York,330119,,,,,861.0,,,,,,,,,,123.0,,,,,
2020-04-10,36061,New York,330154,,,,,371.0,,,,,,,,,,53.0,,,,,
2020-04-10,36063,Niagara,330163,,,,,35.0,,,,,,,,,,5.0,,,,,
2020-04-10,36069,Ontario,330058,,,,,98.0,,,,,,,,,,14.0,,,,,
2020-04-10,36069,Ontario,330074,,,,,87.0,,,,,,,,,,12.4,,,,,
2020-04-10,36071,Orange,330205,,,,,92.0,,,,,,,,,,13.1,,,,,
2020-04-10,36075,Oswego,330218,,,,,56.0,,,,,,,,,,8.0,,,,,
2020-04-10,36079,Putnam,330273,,,,,154.0,,,,,,,,,,22.0,,,,,
2020-04-10,36081,Queens,330195,,,,,2362.0,,,,,,,,,,337.4,,,,,
2020-04-10,36081,Queens,330395,,,,,210.0,,,,,,,,,,30.0,,,,,
2020-04-10,36085,Richmond,330160,,,,,1450.0,,,,,,,,,,207.1,,,,,
2020-04-10,36089,St. Lawrence,330197,,,,,36.0,,,,,,,,,,9.0,,,,,
2020-04-10,36089,St. Lawrence,330211,,,,,10.0,,,,,,,,,,10.0,,,,,
2020-04-10,36091,Saratoga,330222,,,,,62.0,,,,,,,,,,31.0,,,,,
2020-04-10,36103,Suffolk,330043,,,,,334.0,,,,,,,,,,334.0,,,,,
2020-04-10,36103,Suffolk,330045,,,,,595.0,,,,,,,,,,85.0,,,,,
2020-04-10,36103,Suffolk,330141,,,,,199.0,,,,,,,,,,66.3,,,,,
2020-04-10,36103,Suffolk,330185,,,,,294.0,,,,,,,,,,42.0,,,,,
2020-04-10,36103,Suffolk,330246,,,,,350.0,,,,,,,,,,50.0,,,,,
2020-04-10,36103,Suffolk,330286,,,,,865.0,,,,,,,,,,123.6,,,,,
2020-04-10,36103,Suffolk,330393,,,,,1688.0,,,,,,,,,,241.1,,,,,
2020-04-10,36103,Suffolk,330401,,,,,343.0,,,,,,,,,,49.0,,,,,
2020-04-10,36111,Ulster,330004,,,,,140.0,,,,,,,,,,20.0,,,,,
2020-04-10,36111,Ulster,330224,,,,,259.0,,,,,,,,,,37.0,,,,,
2020-04-10,36113,Warren,330191,,,,,84.0,,,,,,,,,,12.0,,,,,
2020-04-10,36119,Westchester,330006,,,,,42.0,,,,,,,,,,6.0,,,,,
2020-04-10,36119,Westchester,330208,,,,,104.0,,,,,,,,,,52.0,,,,,
2020-04-10,36119,Westchester,330234,,,,,105.0,,,,,,,,,,15.0,,,,,
2020-04-17,36001,Albany,330057,,,,,152.0,,,,,,,,,,30.4,,,,,
2020-04-17,36003,Allegany,331301,,,,,0.0,,,,,,,,,,0.0,,,,,
2020-04-17,36005,Bronx,330009,,,,,259.0,,,,,,,,,,37.0,,,,,
2020-04-17,36005,Bronx,330399,,,,,201.0,,,,,,,,,,67.0,,,,,
2020-04-17,36005,Bronx,332006,,,,,0.0,,,,,,,,,,0.0,,,,,
2020-04-17,36007,Broome,330011,,,,,126.0,,,,,,,,,,18.0,,,,,
2020-04-17,36007,Broome,330394,,,,,142.0,,,,,,,,,,23.7,,,,,
2020-04-17,36009,Cattaraugus,330103,,,,,176.0,,,,,,,,,,25.1,,,,,
2020-04-17,36011,Cayuga,330235,,,,,70.0,,,,,,,,,,10.0,,,,,
2020-04-17,36013,Chautauqua,330229,,,,,16.0,,,,,,,,,,8.0,,,,,
2020-04-17,36013,Chautauqua,330239,,,,,77.0,,,,,,,,,,11.0,,,,,
2020-04-17,36015,Chemung,330090,,,,,120.0,,,,,,,,,,24.0,,,,,
2020-04-17,36017,Chenango,330033,,,,,7.0,,,,,,,,,,7.0,,,,,
2020-04-17,36021,Columbia,330094,,,,,24.0,,,,,,,,,,8.0,,,,,
2020-04-17,36023,Cortland,330175,,,,,60.0,,,,,,,,,,8.6,,,,,
2020-04-17,36025,Delaware,331305,,,,,0.0,,,,,,,,,,0.0,,,,,
2020-04-17,36025,Delaware,331312,,,,,0.0,,,,,,,,,,0.0,,,,,
2020-04-17,36027,Dutchess,330023,,,,,449.0,,,,,,,,,,64.1,,,,,
2020-04-17,36027,Dutchess,330049,,,,,49.0,,,,,,,,,,7.0,,,,,
2020-04-17,36029,Erie,330078,,,,,784.0,,,,,,,,,,112.0,,,,,
2020-04-17,36029,Erie,330102,,,,,105.0,,,,,,,,,,15.0,,,,,
2020-04-17,36029,Erie,330111,,,,,0.0,,,,,,,,,,0.0,,,,,
2020-04-17,36029,Erie,330219,,,,,434.0,,,,,,,,,,62.0,,,,,
2020-04-17,36029,Erie,330279,,,,,252.0,,,,,,,,,,36.0,,,,,
2020-04-17,36029,Erie,333562,,,,,735.0,,,,,,,,,,105.0,,,,,
2020-04-17,36031,Essex,331302,,,,,0.0,,,,,,,,,,0.0,,,,,
2020-04-17,36033,Franklin,330079,,,,,48.0,,,,,,,,,,8.0,,,,,
2020-04-17,36033,Franklin,330084,,,,,35.0,,,,,,,,,,5.0,,,,,
2020-04-17,36045,Jefferson,330157,,,,,74.0,,,,,,,,,,10.6,,,,,
2020-04-17,36045,Jefferson,331309,,,,,,,,,,,,,,,,,,,,
2020-04-17,36045,Jefferson,331318,,,,,15.0,,,,,,,,,,15.0,,,,,
2020-04-17,36047,Kings,330056,,,,,255.0,,,,,,,,,,36.4,,,,,
2020-04-17,36047,Kings,330236,,,,,900.0,,,,,,,,,,128.6,,,,,
2020-04-17,36047,Kings,330350,,,,,280.0,,,,,,,,,,40.0,,,,,
2020-04-17,36047,Kings,330396,,,,,464.0,,,,,,,,,,66.3,,,,,
2020-04-17,36047,Kings,330397,,,,,164.0,,,,,,,,,,23.4,,,,,
2020-04-17,36049,Lewis,331317,,,,,38.0,,,,,,,,,,5.4,,,,,
2020-04-17,36053,Madison,330115,,,,,42.0,,,,,,,,,,6.0,,,,,
2020-04-17,36053,Madison,331316,,,,,0.0,,,,,,,,,,0.0,,,,,
2020-04-17,36055,Monroe,330125,,,,,364.0,,,,,,,,,,52.0,,,,,
2020-04-17,36055,Monroe,330164,,,,,84.0,,,,,,,,,,14.0,,,,,
2020-04-17,36055,Monroe,330226,,,,,144.0,,,,,,,,,,20.6,,,,,
2020-04-17,36055,Monroe,330285,,,,,2520.0,,,,,,,,,,360.0,,,,,
2020-04-17,36057,Montgomery,330047,,,,,56.0,,,,,,,,,,8.0,,,,,
2020-04-17,36059,Nassau,330106,,,,,1827.0,,,,,,,,,,261.0,,,,,
2020-04-17,36059,Nassau,330181,,,,,126.0,,,,,,,,,,18.0,,,,,
2020-04-17,36059,Nassau,330198,,,,,507.0,,,,,,,,,,72.4,,,,,
2020-04-17,36059,Nassau,330259,,,,,300.0,,,,,,,,,,42.9,,,,,
2020-04-17,36059,Nassau,330332,,,,,140.0,,,,,,,,,,20.0,,,,,
2020-04-17,36061,New York,330024,,,,,1928.0,,,,,,,,,,275.4,,,,,
2020-04-17,36061,New York,330046,,,,,910.0,,,,,,,,,,130.0,,,,,
2020-04-17,36061,New York,330119,,,,,861.0,,,,,,,,,,123.0,,,,,
2020-04-17,36061,New York,330154,,,,,371.0,,,,,,,,,,53.0,,,,,
2020-04-17,36061,New York,330214,,,,,3123.0,,,,,,,,,,446.1,,,,,
2020-04-17,36061,New York,330240,,,,,78.0,,,,,,,,,,26.0,,,,,
2020-04-17,36061,New York,332008,,,,,0.0,,,,,,,,,,0.0,,,,,
2020-04-17,36063,Niagara,330163,,,,,35.0,,,,,,,,,,5.0,,,,,
2020-04-17,36063,Niagara,330188,,,,,84.0,,,,,,,,,,12.0,,,,,
2020-04-17,36065,Oneida,330044,,,,,152.0,,,,,,,,,,38.0,,,,,
2020-04-17,36065,Oneida,330245,,,,,80.0,,,,,,,,,,20.0,,,,,
2020-04-17,36067,Onondaga,330203,,,,,58.0,,,,,,,,,,29.0,,,,,
2020-04-17,36069,Ontario,330265,,,,,45.0,,,,,,,,,,6.4,,,,,
2020-04-17,36071,Orange,330126,,,,,184.0,,,,,,,,,,92.0,,,,,
2020-04-17,36073,Orleans,331319,,,,,0.0,,,,,,,,,,0.0,,,,,
2020-04-17,36075,Oswego,330218,,,,,56.0,,,,,,,,,,8.0,,,,,
2020-04-17,36077,Otsego,330136,,,,,165.0,,,,,,,,,,23.6,,,,,
2020-04-17,36081,Queens,330055,,,,,882.0,,,,,,,,,,126.0,,,,,
2020-04-17,36081,Queens,330195,,,,,2348.0,,,,,,,,,,335.4,,,,,
