date,fips,county,hospital_pk,total_adult_inpatient,used_inpatient,total_adult_confirmed_and_suspected_covid,total_adult_confirmed_covid,total_icu,used_icu,total_staffed_adult_icu,used_staffed_adult_icu,staffed_icu_adult_confirmed_and_suspected_covid,staffed_icu_adult_confirmed_covid
2020-08-07,36053,Madison,331316,108.0,108.0,5.0,0.0,28.0,6.0,5.0,6.0,-999999.0,0.0
2020-08-07,36053,Madison,330115,177.0,156.0,20.0,11.0,42.0,24.0,42.0,24.0,0.0,0.0
2020-08-07,36055,Monroe,330285,7133.0,5754.0,107.0,62.0,1400.0,894.0,1260.0,753.0,28.0,27.0
2020-08-07,36055,Monroe,330226,,1792.0,,,660.0,105.0,,,,
2020-08-07,36055,Monroe,330125,,2534.0,,,552.0,195.0,,,,
2020-08-07,36055,Monroe,330164,2506.0,1660.0,32.0,21.0,168.0,72.0,168.0,72.0,-999999.0,0.0
2020-08-07,36057,Montgomery,330047,468.0,233.0,-999999.0,-999999.0,48.0,23.0,44.0,23.0,-999999.0,0.0
2020-08-07,36059,Nassau,330198,2828.0,1806.0,37.0,32.0,287.0,141.0,287.0,141.0,9.0,7.0
2020-08-07,36059,Nassau,330259,1456.0,1139.0,47.0,46.0,126.0,63.0,70.0,36.0,0.0,0.0
2020-08-07,36059,Nassau,330331,1267.0,869.0,22.0,8.0,140.0,66.0,140.0,66.0,-999999.0,0.0
2020-08-07,36059,Nassau,330182,1902.0,1902.0,27.0,23.0,560.0,224.0,560.0,224.0,-999999.0,-999999.0
2020-08-07,36059,Nassau,330181,945.0,738.0,91.0,76.0,126.0,28.0,126.0,28.0,0.0,0.0
2020-08-07,36059,Nassau,330332,1008.0,528.0,22.0,22.0,84.0,69.0,84.0,69.0,5.0,5.0
2020-08-07,36059,Nassau,330106,7236.0,5393.0,244.0,112.0,1204.0,715.0,1204.0,506.0,33.0,13.0
2020-08-07,36059,Nassau,330027,2338.0,2009.0,160.0,26.0,448.0,430.0,378.0,412.0,85.0,16.0
2020-08-07,36061,New York,330101,15457.0,15787.0,1148.0,320.0,3479.0,2504.0,1750.0,1486.0,120.0,36.0
2020-08-07,36061,New York,330046,4909.0,3786.0,260.0,62.0,477.0,380.0,477.0,380.0,36.0,28.0
2020-08-07,36061,New York,330154,3332.0,3373.0,61.0,15.0,280.0,184.0,245.0,159.0,0.0,0.0
2020-08-07,36061,New York,330119,3028.0,2158.0,129.0,11.0,700.0,263.0,700.0,190.0,-999999.0,0.0
2020-08-07,36061,New York,330270,997.0,826.0,5.0,5.0,28.0,12.0,28.0,12.0,5.0,5.0
2020-08-07,36061,New York,332008,984.0,984.0,7.0,7.0,,,,,,
2020-08-07,36061,New York,330204,3943.0,3690.0,134.0,77.0,624.0,533.0,542.0,358.0,29.0,17.0
2020-08-07,36061,New York,330169,3116.0,2411.0,186.0,43.0,296.0,234.0,296.0,234.0,4.0,0.0
2020-08-07,36061,New York,330214,,8977.0,259.0,237.0,2482.0,1758.0,,,52.0,50.0
2020-08-07,36061,New York,330240,2249.0,823.0,30.0,15.0,294.0,79.0,294.0,60.0,0.0,0.0
2020-08-07,36061,New York,330199,2163.0,823.0,22.0,0.0,126.0,86.0,126.0,47.0,4.0,0.0
2020-08-07,36061,New York,330024,9030.0,8598.0,345.0,67.0,1869.0,1720.0,1722.0,1583.0,34.0,9.0
2020-08-07,36063,Niagara,330065,868.0,438.0,25.0,12.0,84.0,58.0,84.0,58.0,-999999.0,0.0
2020-08-07,36063,Niagara,330163,490.0,308.0,4.0,,35.0,19.0,35.0,19.0,4.0,
2020-08-07,36063,Niagara,330188,522.0,262.0,-999999.0,-999999.0,72.0,29.0,72.0,29.0,0.0,0.0
2020-08-07,36065,Oneida,330245,,,40.0,17.0,,,,,14.0,6.0
2020-08-07,36065,Oneida,330215,,282.0,,,70.0,26.0,,,,
2020-08-07,36065,Oneida,330044,,,69.0,49.0,,,,,18.0,15.0
2020-08-07,36067,Onondaga,330140,3157.0,2343.0,13.0,13.0,560.0,253.0,420.0,220.0,7.0,7.0
2020-08-07,36067,Onondaga,330241,4242.0,4217.0,56.0,32.0,819.0,751.0,714.0,678.0,24.0,16.0
2020-08-07,36069,Ontario,330265,,179.0,,,54.0,18.0,,,,
2020-08-07,36069,Ontario,330074,1029.0,506.0,7.0,7.0,84.0,57.0,84.0,57.0,,
2020-08-07,36069,Ontario,330058,497.0,306.0,10.0,10.0,98.0,20.0,98.0,15.0,8.0,8.0
2020-08-07,36071,Orange,330205,,,8.0,-999999.0,,,,,-999999.0,0.0
2020-08-07,36071,Orange,330126,1990.0,1521.0,41.0,5.0,575.0,152.0,475.0,113.0,4.0,0.0
2020-08-07,36071,Orange,330264,,857.0,15.0,14.0,245.0,73.0,,,7.0,7.0
2020-08-07,36071,Orange,330135,,,12.0,0.0,,,,,-999999.0,0.0
2020-08-07,36073,Orleans,331319,,40.0,,,0.0,0.0,,,,
2020-08-07,36075,Oswego,330218,861.0,446.0,6.0,0.0,119.0,41.0,119.0,41.0,-999999.0,0.0
2020-08-07,36077,Otsego,330085,100.0,100.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
