date,fips,county,boundary,total_adult_inpatient,used_inpatient,total_adult_confirmed_and_suspected_covid,total_adult_confirmed_covid,total_icu,used_icu,total_staffed_adult_icu,used_staffed_adult_icu,staffed_icu_adult_confirmed_and_suspected_covid,staffed_icu_adult_confirmed_covid
2020-08-07,36115,Washington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36117,Wayne,0.0,0.0,52.57,0.0,0.0,12.0,6.43,0.0,0.0,0.0,0.0
2020-08-07,36119,Westchester,0.0,1029.71,638.71,95.14,31.86,237.43,48.71,188.71,47.43,8.71,2.57
2020-08-07,36121,Wyoming,0.0,0.0,3.57,0.0,0.0,1.0,0.71,0.0,0.71,0.0,0.0
2020-08-07,36123,Yates,0.0,15.43,6.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36061,New York,0.0,7029.71,7462.29,369.43,122.71,1522.14,1107.57,882.86,644.14,40.57,20.71
2020-08-07,99999,New York City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36089,St. Lawrence,0.0,43.14,102.86,1.71,1.71,13.0,7.71,2.71,2.71,0.0,0.0
2020-08-07,90036,Unassigned,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36001,Albany,0.0,470.0,352.14,8.29,7.86,43.43,26.71,27.71,17.57,0.57,0.57
2020-08-14,36003,Allegany,0.0,61.57,24.57,0.0,0.0,10.0,2.43,10.0,2.43,0.0,0.0
2020-08-14,36005,Bronx,0.0,3607.29,2193.43,91.43,77.0,514.0,304.86,401.0,197.71,10.43,7.0
2020-08-14,36007,Broome,0.0,479.71,283.29,12.57,12.57,49.71,31.71,49.71,31.29,6.86,6.86
2020-08-14,36009,Cattaraugus,0.0,16.71,16.71,0.71,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2020-08-14,36011,Cayuga,0.0,0.0,77.14,3.57,0.0,19.0,5.0,19.0,5.0,0.0,0.0
2020-08-14,36013,Chautauqua,0.0,159.86,123.43,0.57,0.57,16.71,6.14,16.71,4.71,0.0,0.0
2020-08-14,36015,Chemung,0.0,165.0,111.57,0.0,0.0,20.0,14.43,20.0,14.43,0.0,0.0
2020-08-14,36017,Chenango,0.0,0.0,4.86,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0
2020-08-14,36019,Clinton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36021,Columbia,0.0,58.0,58.29,1.71,1.71,7.14,2.71,0.0,2.71,0.0,0.0
2020-08-14,36023,Cortland,0.0,77.0,38.43,0.0,0.0,12.0,4.57,12.0,4.57,0.0,0.0
2020-08-14,36025,Delaware,0.0,57.29,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36027,Dutchess,0.0,448.0,351.29,37.14,6.29,55.0,42.57,32.0,26.57,5.86,2.0
2020-08-14,36029,Erie,0.0,1937.86,1630.86,35.0,22.71,448.14,171.86,337.57,138.43,6.0,2.71
2020-08-14,36031,Essex,0.0,17.86,9.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36033,Franklin,0.0,134.86,32.57,4.57,0.0,15.29,2.86,15.29,2.86,1.29,0.0
2020-08-14,36035,Fulton,0.0,0.0,19.71,1.86,0.0,8.0,4.29,8.0,4.29,0.71,0.0
2020-08-14,36037,Genesee,0.0,0.0,24.43,0.0,0.0,11.14,3.0,0.0,0.0,0.0,0.0
2020-08-14,36039,Greene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36041,Hamilton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
