date,fips,county,boundary,total_adult_inpatient_avg,total_adult_used_inpatient_avg,total_adult_confirmed_and_suspected_covid_avg,total_adult_confirmed_covid_avg,total_icu_avg,used_icu_avg,total_staffed_adult_icu_avg,used_staffed_adult_icu_avg,staffed_icu_adult_confirmed_and_suspected_covid_avg,staffed_icu_adult_confirmed_covid_avg
2020-08-14,36041,Hamilton,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36043,Herkimer,1.0,0.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36045,Jefferson,1.0,18.7,25.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36047,Kings,1.0,3326.2,1924.7,142.2,35.9,359.4,241.2,277.4,191.4,24.2,12.6
2020-08-14,36049,Lewis,1.0,50.0,13.4,0.0,0.0,6.0,1.0,6.0,1.0,0.0,0.0
2020-08-14,36051,Livingston,1.0,36.0,27.9,1.0,0.0,8.0,6.1,8.0,5.0,0.0,0.0
2020-08-14,36053,Madison,1.0,39.4,36.3,1.0,0.0,10.0,2.0,7.0,2.0,1.0,0.0
2020-08-14,36055,Monroe,1.0,1377.0,934.6,21.6,15.1,426.0,184.5,204.0,115.9,5.3,5.3
2020-08-14,36057,Montgomery,1.0,117.0,61.8,1.0,1.0,12.0,4.7,11.0,4.7,0.0,0.0
2020-08-14,36059,Nassau,1.0,2699.6,1948.3,70.3,36.1,426.1,250.5,408.1,205.2,19.3,7.4
2020-08-14,36063,Niagara,1.0,270.7,155.5,2.0,1.0,25.0,12.3,25.0,12.3,1.0,0.0
2020-08-14,36065,Oneida,1.0,0.0,0.0,16.4,6.3,10.0,4.3,0.0,0.0,2.0,1.0
2020-08-14,36067,Onondaga,1.0,1057.0,855.1,10.1,6.6,197.0,141.4,162.0,124.7,5.3,2.0
2020-08-14,36069,Ontario,1.0,218.0,120.7,2.0,2.0,35.0,11.1,26.0,10.1,1.0,1.0
2020-08-14,36071,Orange,1.0,398.0,279.6,12.0,3.0,150.0,39.6,95.0,20.4,2.0,1.0
2020-08-14,36073,Orleans,1.0,0.0,8.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36075,Oswego,1.0,123.0,55.8,0.0,0.0,17.0,6.7,17.0,6.7,1.0,0.0
2020-08-14,36077,Otsego,1.0,27.6,160.4,2.0,1.0,30.0,17.8,0.0,17.8,0.0,0.0
2020-08-14,36079,Putnam,1.0,114.0,51.8,1.0,0.0,10.0,1.0,10.0,1.0,1.0,0.0
2020-08-14,36081,Queens,1.0,2938.3,1904.7,307.8,77.1,665.0,300.5,467.0,203.1,38.7,6.0
2020-08-14,36083,Rensselaer,1.0,174.0,143.4,12.7,12.0,24.0,13.6,24.0,13.6,1.0,1.0
