date,fips,county,boundary,total_adult_inpatient,used_inpatient,total_adult_confirmed_and_suspected_covid,total_adult_confirmed_covid,total_icu,used_icu,total_staffed_adult_icu,used_staffed_adult_icu,staffed_icu_adult_confirmed_and_suspected_covid,staffed_icu_adult_confirmed_covid
2020-08-14,36023,Cortland,0.0,539.0,269.0,0.0,0.0,84.0,32.0,84.0,32.0,0.0,0.0
2020-08-14,36025,Delaware,0.0,401.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36027,Dutchess,0.0,3136.0,2459.0,260.0,44.0,385.0,298.0,224.0,186.0,41.0,14.0
2020-08-14,36029,Erie,0.0,13565.0,11416.0,245.0,159.0,3137.0,1203.0,2363.0,969.0,42.0,19.0
2020-08-14,36031,Essex,0.0,125.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36033,Franklin,0.0,944.0,228.0,32.0,0.0,107.0,20.0,107.0,20.0,9.0,0.0
2020-08-14,36035,Fulton,0.0,0.0,138.0,13.0,0.0,56.0,30.0,56.0,30.0,5.0,0.0
2020-08-14,36037,Genesee,0.0,0.0,171.0,0.0,0.0,78.0,21.0,0.0,0.0,0.0,0.0
2020-08-14,36039,Greene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36041,Hamilton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36043,Herkimer,0.0,0.0,133.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36045,Jefferson,0.0,131.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36047,Kings,0.0,23283.0,14342.0,990.0,297.0,2492.0,1678.0,1918.0,1330.0,162.0,73.0
2020-08-14,36049,Lewis,0.0,250.0,67.0,0.0,0.0,30.0,6.0,30.0,6.0,0.0,0.0
2020-08-14,36051,Livingston,0.0,252.0,195.0,0.0,0.0,56.0,43.0,56.0,35.0,0.0,0.0
2020-08-14,36053,Madison,0.0,276.0,254.0,6.0,0.0,70.0,16.0,42.0,16.0,0.0,0.0
2020-08-14,36055,Monroe,0.0,9639.0,11966.0,151.0,106.0,2780.0,1241.0,1428.0,811.0,37.0,37.0
2020-08-14,36057,Montgomery,0.0,702.0,371.0,5.0,5.0,72.0,28.0,66.0,28.0,0.0,0.0
2020-08-14,36059,Nassau,0.0,18897.0,14372.0,515.0,290.0,2983.0,1764.0,2857.0,1448.0,111.0,37.0
2020-08-14,36063,Niagara,0.0,1895.0,1092.0,11.0,9.0,195.0,103.0,195.0,102.0,0.0,0.0
2020-08-14,36065,Oneida,0.0,0.0,311.0,115.0,52.0,70.0,30.0,0.0,0.0,24.0,11.0
2020-08-14,36067,Onondaga,0.0,7399.0,6466.0,75.0,50.0,1379.0,990.0,1134.0,873.0,34.0,27.0
2020-08-14,36069,Ontario,0.0,1526.0,1052.0,13.0,5.0,236.0,96.0,182.0,84.0,0.0,0.0
2020-08-14,36071,Orange,0.0,1990.0,2404.0,88.0,36.0,820.0,222.0,475.0,102.0,19.0,14.0
2020-08-14,36073,Orleans,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36075,Oswego,0.0,738.0,343.0,0.0,0.0,102.0,40.0,102.0,40.0,0.0,0.0
2020-08-14,36077,Otsego,0.0,193.0,741.0,20.0,6.0,120.0,71.0,0.0,71.0,0.0,0.0
2020-08-14,36079,Putnam,0.0,684.0,314.0,0.0,0.0,60.0,14.0,60.0,0.0,0.0,0.0
2020-08-14,36081,Queens,0.0,20568.0,18083.0,2116.0,546.0,4587.0,2081.0,3269.0,1399.0,300.0,95.0
2020-08-14,36083,Rensselaer,0.0,1218.0,1004.0,89.0,84.0,168.0,95.0,168.0,95.0,18.0,16.0
2020-08-14,36085,Richmond,0.0,4389.0,4597.0,156.0,75.0,868.0,440.0,609.0,283.0,30.0,26.0
2020-08-14,36087,Rockland,0.0,0.0,231.0,21.0,0.0,20.0,20.0,0.0,0.0,5.0,0.0
2020-08-14,36091,Saratoga,0.0,0.0,308.0,6.0,4.0,62.0,43.0,0.0,43.0,0.0,0.0
2020-08-14,36093,Schenectady,0.0,2205.0,1413.0,83.0,35.0,308.0,190.0,308.0,190.0,12.0,0.0
2020-08-14,36095,Schoharie,0.0,217.0,84.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36097,Schuyler,0.0,156.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36099,Seneca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36101,Steuben,0.0,133.0,405.0,0.0,0.0,58.0,28.0,0.0,26.0,0.0,0.0
2020-08-14,36103,Suffolk,0.0,15441.0,13978.0,874.0,373.0,2782.0,1789.0,2334.0,1538.0,124.0,80.0
2020-08-14,36105,Sullivan,0.0,435.0,365.0,6.0,0.0,95.0,33.0,95.0,33.0,0.0,0.0
2020-08-14,36107,Tioga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36109,Tompkins,0.0,1050.0,644.0,17.0,0.0,112.0,50.0,112.0,50.0,7.0,0.0
2020-08-14,36111,Ulster,0.0,1071.0,742.0,28.0,4.0,91.0,29.0,91.0,29.0,4.0,0.0
2020-08-14,36113,Warren,0.0,1442.0,1025.0,13.0,4.0,154.0,49.0,154.0,49.0,0.0,0.0
2020-08-14,36115,Washington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36117,Wayne,0.0,0.0,345.0,0.0,0.0,84.0,43.0,0.0,0.0,0.0,0.0
2020-08-14,36119,Westchester,0.0,7145.0,4577.0,674.0,168.0,1231.0,355.0,1047.0,330.0,59.0,7.0
2020-08-14,36121,Wyoming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36123,Yates,0.0,126.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36061,New York,0.0,48901.0,52433.0,2648.0,704.0,10619.0,7412.0,6210.0,4401.0,239.0,107.0
2020-08-14,99999,New York City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,36089,St. Lawrence,0.0,309.0,775.0,19.0,17.0,107.0,45.0,22.0,22.0,0.0,0.0
2020-08-14,90036,Unassigned,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-21,36001,Albany,0.0,3290.0,2394.0,42.0,33.0,301.0,179.0,196.0,114.0,9.0,6.0
2020-08-21,36003,Allegany,0.0,511.0,216.0,7.0,0.0,70.0,26.0,70.0,26.0,0.0,0.0
2020-08-21,36005,Bronx,0.0,24961.0,15966.0,544.0,438.0,3501.0,2330.0,2689.0,1486.0,80.0,55.0
2020-08-21,36007,Broome,0.0,4043.0,2445.0,100.0,100.0,426.0,250.0,426.0,246.0,56.0,56.0
2020-08-21,36009,Cattaraugus,0.0,266.0,266.0,6.0,0.0,17.0,17.0,15.0,17.0,0.0,0.0
2020-08-21,36011,Cayuga,0.0,0.0,524.0,25.0,5.0,133.0,48.0,133.0,48.0,0.0,0.0
2020-08-21,36013,Chautauqua,0.0,1080.0,821.0,0.0,0.0,109.0,77.0,109.0,63.0,0.0,0.0
2020-08-21,36015,Chemung,0.0,1155.0,824.0,0.0,0.0,140.0,104.0,140.0,104.0,0.0,0.0
2020-08-21,36017,Chenango,0.0,0.0,48.0,0.0,0.0,49.0,10.0,0.0,0.0,0.0,0.0
2020-08-21,36019,Clinton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-21,36021,Columbia,0.0,408.0,408.0,0.0,0.0,50.0,10.0,0.0,10.0,0.0,0.0
2020-08-21,36023,Cortland,0.0,462.0,240.0,0.0,0.0,72.0,35.0,72.0,35.0,0.0,0.0
2020-08-21,36025,Delaware,0.0,348.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-21,36027,Dutchess,0.0,3136.0,2384.0,247.0,61.0,337.0,282.0,224.0,180.0,31.0,10.0
2020-08-21,36029,Erie,0.0,13613.0,11406.0,260.0,155.0,3116.0,1228.0,2387.0,1008.0,57.0,29.0
2020-08-21,36031,Essex,0.0,175.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-21,36033,Franklin,0.0,1057.0,296.0,51.0,0.0,119.0,16.0,119.0,16.0,7.0,0.0
2020-08-21,36035,Fulton,0.0,0.0,155.0,8.0,0.0,56.0,29.0,56.0,29.0,0.0,0.0
2020-08-21,36037,Genesee,0.0,0.0,260.0,0.0,0.0,91.0,35.0,0.0,0.0,0.0,0.0
2020-08-21,36039,Greene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-21,36041,Hamilton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-21,36043,Herkimer,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-21,36045,Jefferson,0.0,103.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-21,36047,Kings,0.0,22767.0,14396.0,934.0,214.0,2655.0,1799.0,2071.0,1321.0,135.0,58.0
2020-08-21,36049,Lewis,0.0,250.0,82.0,0.0,0.0,30.0,10.0,30.0,10.0,0.0,0.0
2020-08-21,36051,Livingston,0.0,252.0,198.0,9.0,7.0,56.0,33.0,56.0,33.0,0.0,0.0
2020-08-21,36053,Madison,0.0,274.0,244.0,19.0,12.0,62.0,34.0,50.0,34.0,6.0,0.0
2020-08-21,36055,Monroe,0.0,9639.0,12547.0,123.0,94.0,2982.0,1296.0,1428.0,788.0,33.0,31.0
