date,fips,county,daily_cases,daily_hospitalized,daily_deaths,daily_cases_avg,daily_hospitalized_avg,daily_deaths_avg
2020-10-17,36005,Bronx,64,8,1,72,8,1
2020-10-18,36005,Bronx,45,5,2,73,7,1
2020-10-19,36005,Bronx,105,8,0,80,8,1
2020-10-20,36005,Bronx,91,9,0,80,8,1
2020-10-21,36005,Bronx,96,11,0,81,9,1
2020-10-22,36005,Bronx,122,7,0,86,8,1
2020-10-23,36005,Bronx,115,10,1,91,8,1
2020-10-24,36005,Bronx,72,10,0,92,9,0
2020-10-25,36005,Bronx,66,8,2,95,9,0
2020-10-26,36005,Bronx,133,8,0,99,9,0
2020-10-27,36005,Bronx,119,8,3,103,9,1
2020-10-28,36005,Bronx,124,8,0,107,8,1
2020-10-29,36005,Bronx,100,10,0,104,9,1
2020-10-30,36005,Bronx,116,12,1,104,9,1
2020-10-31,36005,Bronx,65,8,0,103,9,1
2020-11-01,36005,Bronx,56,7,0,102,9,1
2020-11-02,36005,Bronx,158,14,1,105,10,1
2020-11-03,36005,Bronx,153,13,2,110,10,1
2020-11-04,36005,Bronx,186,12,0,119,11,1
2020-11-05,36005,Bronx,198,12,3,133,11,1
2020-11-06,36005,Bronx,191,7,4,144,10,1
2020-11-07,36005,Bronx,135,16,1,154,12,2
2020-11-08,36005,Bronx,107,11,2,161,12,2
2020-11-09,36005,Bronx,242,17,0,173,13,2
2020-11-10,36005,Bronx,274,17,2,190,13,2
2020-11-11,36005,Bronx,238,20,1,198,14,2
2020-11-12,36005,Bronx,247,21,4,205,16,2
2020-11-13,36005,Bronx,270,17,1,216,17,2
2020-11-14,36005,Bronx,192,20,1,224,18,2
2020-11-15,36005,Bronx,134,12,2,228,18,2
2020-11-16,36005,Bronx,314,26,1,238,19,2
2020-11-17,36005,Bronx,335,18,1,247,19,2
2020-11-18,36005,Bronx,307,24,0,257,20,1
2020-11-19,36005,Bronx,363,21,1,274,20,1
2020-11-20,36005,Bronx,326,24,2,282,21,1
2020-11-21,36005,Bronx,254,19,1,290,21,1
2020-11-22,36005,Bronx,183,15,4,297,21,1
2020-11-23,36005,Bronx,436,32,0,315,22,1
2020-11-24,36005,Bronx,375,17,2,321,22,1
2020-11-25,36005,Bronx,423,24,2,337,22,2
2020-11-26,36005,Bronx,136,26,1,305,22,2
2020-11-27,36005,Bronx,385,24,1,313,22,2
2020-11-28,36005,Bronx,332,22,4,324,23,2
2020-11-29,36005,Bronx,229,29,3,331,25,2
2020-11-30,36005,Bronx,454,40,5,333,26,3
2020-12-01,36005,Bronx,578,43,1,362,30,2
2020-12-02,36005,Bronx,523,30,5,377,31,3
2020-12-03,36005,Bronx,519,41,0,431,33,3
2020-12-04,36005,Bronx,562,39,5,457,35,3
2020-12-05,36005,Bronx,326,30,3,456,36,3
2020-12-06,36005,Bronx,248,31,2,459,36,3
2020-12-07,36005,Bronx,555,49,2,473,38,3
2020-12-08,36005,Bronx,492,40,4,461,37,3
2020-12-09,36005,Bronx,530,52,4,462,40,3
2020-12-10,36005,Bronx,570,46,7,469,41,4
2020-12-11,36005,Bronx,499,54,3,460,43,4
