county,new_cases,new_death
"NY-City (Bronx, Kings, New York, Queens and Richmond)",3493.0,24.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",2592.0,19.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",4136.0,36.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",3133.0,27.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",2968.0,32.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",5118.0,44.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",4773.0,43.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",4272.0,30.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",3227.0,31.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",1384.0,35.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",3286.0,35.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",4207.0,51.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",4579.0,41.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",5829.0,54.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",6000.0,28.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",4204.0,27.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",3759.0,28.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",5337.0,28.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",5001.0,44.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",6337.0,52.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",7010.0,52.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",6940.0,47.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",6271.0,61.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",5753.0,59.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",5575.0,59.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",5948.0,71.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",5881.0,87.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",7250.0,62.0
"NY-City (Bronx, Kings, New York, Queens and Richmond)",6266.0,77.0
