date,fips,county,hospital_pk,total_adult_inpatient_sum,total_adult_used_inpatient_sum,total_adult_confirmed_and_suspected_covid_sum,total_adult_confirmed_covid_sum,total_icu_sum,used_icu_sum,total_staffed_adult_icu_sum,used_staffed_adult_icu_sum,staffed_icu_adult_confirmed_and_suspected_covid_sum,staffed_icu_adult_confirmed_covid_sum,total_adult_inpatient_avg,total_adult_used_inpatient_avg,total_adult_confirmed_and_suspected_covid_avg,total_adult_confirmed_covid_avg,total_icu_avg,used_icu_avg,total_staffed_adult_icu_avg,used_staffed_adult_icu_avg,staffed_icu_adult_confirmed_and_suspected_covid_avg,staffed_icu_adult_confirmed_covid_avg
2020-07-31,36061,New York,330101,15379,12833,1013,329,3325,2600,1701,1538,145,50,2197.0,1833.3,144.7,47.0,475.0,371.4,243.0,219.7,20.7,7.1
2020-07-31,36061,New York,330204,3549,3455,180,111,530,526,460,337,42,30,507.0,493.6,25.7,15.9,75.7,75.1,65.7,48.1,6.0,4.3
2020-07-31,36061,New York,330199,2163,900,20,0,125,100,125,61,7,0,309.0,128.6,-999999.0,0.0,17.9,14.3,17.9,8.7,-999999.0,0.0
2020-07-31,36061,New York,330214,,,317,317,2492,1859,,,80,80,,,45.3,45.3,356.0,265.6,,,11.4,11.4
2020-07-31,36061,New York,330046,4812,3586,228,42,484,351,484,351,19,11,687.4,512.3,32.6,6.0,69.1,50.1,69.1,50.1,-999999.0,-999999.0
2020-07-31,36061,New York,330169,3105,2372,175,75,303,249,303,249,8,6,443.6,338.9,25.0,10.7,43.3,35.6,43.3,35.6,-999999.0,-999999.0
2020-07-31,36063,Niagara,330188,609,288,5,4,84,39,84,39,0,0,87.0,41.1,-999999.0,-999999.0,12.0,5.6,12.0,5.6,0.0,0.0
2020-07-31,36063,Niagara,330065,868,391,23,9,84,37,84,37,5,0,124.0,55.9,-999999.0,-999999.0,12.0,5.3,12.0,5.3,-999999.0,0.0
2020-07-31,36063,Niagara,330163,490,286,6,,35,8,35,8,,,70.0,40.9,-999999.0,,5.0,-999999.0,5.0,-999999.0,,
2020-07-31,36065,Oneida,330245,,,78,24,,,,,16,9,,,11.1,-999999.0,,,,,-999999.0,-999999.0
2020-07-31,36065,Oneida,330044,,,99,59,,,,,15,12,,,14.1,8.4,,,,,-999999.0,-999999.0
2020-07-31,36065,Oneida,330215,,,,,70,17,,,,,,,,,10.0,-999999.0,,,,
2020-07-31,36067,Onondaga,330241,4242,3564,59,40,819,742,714,674,20,18,606.0,509.1,8.4,5.7,117.0,106.0,102.0,96.3,-999999.0,-999999.0
2020-07-31,36067,Onondaga,330140,3157,2314,24,24,560,253,420,208,7,7,451.0,330.6,-999999.0,-999999.0,80.0,36.1,60.0,29.7,-999999.0,-999999.0
2020-07-31,36069,Ontario,330058,497,333,-999999,-999999,98,30,98,30,0,0,71.0,47.6,-999999.0,-999999.0,14.0,4.3,14.0,4.3,0.0,0.0
2020-07-31,36069,Ontario,330074,1029,473,8,5,84,48,84,48,,,147.0,67.6,-999999.0,-999999.0,12.0,6.9,12.0,6.9,,
2020-07-31,36069,Ontario,330265,,,,,54,17,,,,,,,,,9.0,-999999.0,,,,
2020-07-31,36071,Orange,330126,1990,1408,65,12,575,156,475,114,10,-999999,398.0,281.6,13.0,-999999.0,115.0,31.2,95.0,22.8,-999999.0,-999999.0
2020-07-31,36071,Orange,330205,,,-999999,0,,,,,0,0,,,-999999.0,0.0,,,,,0.0,0.0
2020-07-31,36071,Orange,330135,,,8,0,,,,,0,0,,,-999999.0,0.0,,,,,0.0,0.0
2020-07-31,36071,Orange,330264,,,10,10,245,85,,,7,7,,,-999999.0,-999999.0,35.0,12.1,,,-999999.0,-999999.0
2020-07-31,36073,Orleans,331319,,61,,,0,0,,,,,,8.7,,,0.0,0.0,,,,
2020-07-31,36075,Oswego,330218,861,407,7,0,119,31,119,31,0,0,123.0,58.1,-999999.0,0.0,17.0,4.4,17.0,4.4,0.0,0.0
2020-07-31,36077,Otsego,330136,,734,28,11,150,124,,119,0,0,,146.8,5.6,-999999.0,30.0,24.8,,23.8,0.0,0.0
2020-07-31,36077,Otsego,330085,162,162,12,4,0,0,0,0,0,0,23.1,23.1,-999999.0,-999999.0,0.0,0.0,0.0,0.0,0.0,0.0
