date,fips,county,cases,deaths,active,recovered
2020-03-27,36091,Saratoga,82,0,0,0
2020-03-27,36093,Schenectady,66,1,0,0
2020-03-27,36095,Schoharie,3,0,0,0
2020-03-27,36097,Schuyler,0,0,0,0
2020-03-27,36099,Seneca,0,0,0,0
2020-03-27,36101,Steuben,12,0,0,0
2020-03-27,36103,Suffolk,3385,30,0,0
2020-03-27,36105,Sullivan,64,0,0,0
2020-03-27,36107,Tioga,2,0,0,0
2020-03-27,36109,Tompkins,32,0,0,0
2020-03-27,36111,Ulster,98,0,0,0
2020-03-27,36113,Warren,8,0,0,0
2020-03-27,36115,Washington,6,0,0,0
2020-03-27,36117,Wayne,11,0,0,0
2020-03-27,36119,Westchester,7187,1,0,0
2020-03-27,36121,Wyoming,7,1,0,0
2020-03-27,36123,Yates,0,0,0,0
2020-03-27,36061,New York,0,0,0,0
2020-03-27,99999,New York City,25573,366,0,0
2020-03-27,36089,St. Lawrence,4,0,0,0
2020-03-27,90036,Unassigned,0,87,0,0
2020-03-28,36001,Albany,195,0,0,0
2020-03-28,36003,Allegany,2,0,0,0
2020-03-28,36005,Bronx,0,0,0,0
2020-03-28,36007,Broome,23,3,0,0
2020-03-28,36009,Cattaraugus,1,0,0,0
2020-03-28,36011,Cayuga,2,0,0,0
2020-03-28,36013,Chautauqua,5,0,0,0
2020-03-28,36015,Chemung,12,0,0,0
2020-03-28,36017,Chenango,8,0,0,0
2020-03-28,36019,Clinton,12,0,0,0
2020-03-28,36021,Columbia,30,1,0,0
2020-03-28,36023,Cortland,7,0,0,0
2020-03-28,36025,Delaware,8,0,0,0
2020-03-28,36027,Dutchess,262,2,0,0
2020-03-28,36029,Erie,318,6,0,0
2020-03-28,36031,Essex,5,0,0,0
2020-03-28,36033,Franklin,5,0,0,0
2020-03-28,36035,Fulton,1,0,0,0
2020-03-28,36037,Genesee,7,0,0,0
2020-03-28,36039,Greene,7,0,0,0
2020-03-28,36041,Hamilton,2,0,0,0
2020-03-28,36043,Herkimer,9,1,0,0
2020-03-28,36045,Jefferson,6,0,0,0
2020-03-28,36047,Kings,0,0,0,0
2020-03-28,36049,Lewis,0,0,0,0
2020-03-28,36051,Livingston,10,0,0,0
2020-03-28,36053,Madison,28,1,0,0
2020-03-28,36055,Monroe,202,5,0,0
2020-03-28,36057,Montgomery,6,0,0,0
2020-03-28,36059,Nassau,5537,27,0,0
2020-03-28,36063,Niagara,33,0,0,0
2020-03-28,36065,Oneida,23,0,0,0
2020-03-28,36067,Onondaga,146,1,0,0
2020-03-28,36069,Ontario,16,0,0,0
2020-03-28,36071,Orange,1101,4,0,0
2020-03-28,36073,Orleans,3,0,0,0
2020-03-28,36075,Oswego,9,0,0,0
2020-03-28,36077,Otsego,7,1,0,0
2020-03-28,36079,Putnam,131,0,0,0
2020-03-28,36081,Queens,0,0,0,0
2020-03-28,36083,Rensselaer,51,0,0,0
2020-03-28,36085,Richmond,0,0,0,0
2020-03-28,36087,Rockland,1896,8,0,0
2020-03-28,36091,Saratoga,96,0,0,0
2020-03-28,36093,Schenectady,72,1,0,0
2020-03-28,36095,Schoharie,5,0,0,0
2020-03-28,36097,Schuyler,1,0,0,0
2020-03-28,36099,Seneca,0,0,0,0
2020-03-28,36101,Steuben,13,0,0,0
2020-03-28,36103,Suffolk,4138,30,0,0
2020-03-28,36105,Sullivan,72,0,0,0
2020-03-28,36107,Tioga,6,0,0,0
2020-03-28,36109,Tompkins,48,0,0,0
2020-03-28,36111,Ulster,133,0,0,0
2020-03-28,36113,Warren,13,0,0,0
2020-03-28,36115,Washington,9,0,0,0
2020-03-28,36117,Wayne,12,0,0,0
2020-03-28,36119,Westchester,7875,10,0,0
2020-03-28,36121,Wyoming,7,1,0,0
2020-03-28,36123,Yates,0,0,0,0
2020-03-28,36061,New York,0,0,0,0
2020-03-28,99999,New York City,29776,517,0,0
2020-03-28,36089,St. Lawrence,8,0,0,0
2020-03-28,90036,Unassigned,0,109,0,0
2020-03-29,36001,Albany,205,1,0,0
2020-03-29,36003,Allegany,6,0,0,0
2020-03-29,36005,Bronx,0,0,0,0
2020-03-29,36007,Broome,29,3,0,0
2020-03-29,36009,Cattaraugus,4,0,0,0
2020-03-29,36011,Cayuga,2,0,0,0
2020-03-29,36013,Chautauqua,7,0,0,0
2020-03-29,36015,Chemung,15,0,0,0
2020-03-29,36017,Chenango,15,0,0,0
2020-03-29,36019,Clinton,13,0,0,0
2020-03-29,36021,Columbia,30,1,0,0
2020-03-29,36023,Cortland,8,0,0,0
2020-03-29,36025,Delaware,8,0,0,0
2020-03-29,36027,Dutchess,320,2,0,0
2020-03-29,36029,Erie,414,7,0,0
2020-03-29,36031,Essex,5,0,0,0
2020-03-29,36033,Franklin,6,0,0,0
2020-03-29,36035,Fulton,1,0,0,0
2020-03-29,36037,Genesee,9,0,0,0
2020-03-29,36039,Greene,7,0,0,0
2020-03-29,36041,Hamilton,2,0,0,0
2020-03-29,36043,Herkimer,10,2,0,0
2020-03-29,36045,Jefferson,7,0,0,0
2020-03-29,36047,Kings,0,0,0,0
2020-03-29,36049,Lewis,0,0,0,0
2020-03-29,36051,Livingston,10,0,0,0
2020-03-29,36053,Madison,29,1,0,0
2020-03-29,36055,Monroe,219,5,0,0
2020-03-29,36057,Montgomery,6,0,0,0
2020-03-29,36059,Nassau,6445,39,0,0
2020-03-29,36063,Niagara,38,0,0,0
2020-03-29,36065,Oneida,26,0,0,0
2020-03-29,36067,Onondaga,194,1,0,0
2020-03-29,36069,Ontario,18,0,0,0
2020-03-29,36071,Orange,1247,5,0,0
2020-03-29,36073,Orleans,3,0,0,0
2020-03-29,36075,Oswego,10,0,0,0
2020-03-29,36077,Otsego,10,1,0,0
2020-03-29,36079,Putnam,144,0,0,0
2020-03-29,36081,Queens,0,0,0,0
2020-03-29,36083,Rensselaer,51,0,0,0
2020-03-29,36085,Richmond,0,0,0,0
2020-03-29,36087,Rockland,2209,8,0,0
2020-03-29,36091,Saratoga,102,0,0,0
2020-03-29,36093,Schenectady,76,1,0,0
2020-03-29,36095,Schoharie,5,0,0,0
2020-03-29,36097,Schuyler,1,0,0,0
2020-03-29,36099,Seneca,0,0,0,0
2020-03-29,36101,Steuben,17,0,0,0
2020-03-29,36103,Suffolk,5023,40,0,0
2020-03-29,36105,Sullivan,88,0,0,0
2020-03-29,36107,Tioga,6,0,0,0
2020-03-29,36109,Tompkins,56,0,0,0
2020-03-29,36111,Ulster,146,0,0,0
2020-03-29,36113,Warren,18,0,0,0
2020-03-29,36115,Washington,9,0,0,0
2020-03-29,36117,Wayne,12,0,0,0
2020-03-29,36119,Westchester,8519,10,0,0
2020-03-29,36121,Wyoming,8,1,0,0
2020-03-29,36123,Yates,0,0,0,0
2020-03-29,36061,New York,0,0,0,0
2020-03-29,99999,New York City,33768,678,0,0
2020-03-29,36089,St. Lawrence,12,0,0,0
2020-03-29,90036,Unassigned,0,159,0,0
2020-03-30,36001,Albany,217,1,0,0
2020-03-30,36003,Allegany,7,0,0,0
2020-03-30,36005,Bronx,0,0,0,0
2020-03-30,36007,Broome,35,3,0,0
2020-03-30,36009,Cattaraugus,6,0,0,0
2020-03-30,36011,Cayuga,3,0,0,0
2020-03-30,36013,Chautauqua,7,0,0,0
2020-03-30,36015,Chemung,15,0,0,0
2020-03-30,36017,Chenango,17,0,0,0
2020-03-30,36019,Clinton,17,0,0,0
2020-03-30,36021,Columbia,36,1,0,0
2020-03-30,36023,Cortland,10,0,0,0
2020-03-30,36025,Delaware,11,0,0,0
2020-03-30,36027,Dutchess,392,2,0,0
2020-03-30,36029,Erie,443,7,0,0
2020-03-30,36031,Essex,5,0,0,0
2020-03-30,36033,Franklin,6,0,0,0
2020-03-30,36035,Fulton,1,0,0,0
2020-03-30,36037,Genesee,9,0,0,0
2020-03-30,36039,Greene,10,0,0,0
2020-03-30,36041,Hamilton,2,0,0,0
